Config ID,Window,K,Hidden Size,Num Layers,Ridge Alpha,Input Scaling,RMSE,MAE,MAPE,Training Time
230,48,1,100,7,0.1,0.1,481.16131242326935,332.2126154232208,0.02673000623459071,0.35014666210521345
231,48,1,100,7,0.1,0.3,295.43283652615037,208.20022752297552,0.01695699064597748,0.3758860934864391
232,48,1,100,7,0.1,0.5,255.48681006555015,179.5110309546904,0.014769310417276908,0.35925418680364435
233,48,1,100,7,0.1,0.7,241.30885334079105,168.54048043642237,0.013987401299234637,0.36743651736866345
234,48,1,100,7,0.1,0.1,481.17058443576224,332.21733942757425,0.02673472048921338,0.36728416789661755
235,48,1,100,7,1.0,0.1,804.4242162779403,582.6329955202832,0.04719092302994087,0.3600388656963001
236,48,1,100,7,1.0,0.3,494.2341491788615,341.24413225406624,0.027448729338142033,0.3652003895152699
237,48,1,100,7,1.0,0.5,384.7966712486222,267.76071427130125,0.02164124734539369,0.38588562878695404
238,48,1,100,7,1.0,0.7,331.72737111344264,233.01821728068123,0.01890143129367348,0.35977953130548646
239,48,1,100,7,1.0,0.1,804.3843083186945,582.6004532090628,0.047186541150395674,0.35638562115755945
240,48,1,200,1,0.001,0.1,233.8810824803845,162.52626623521343,0.013602741826206383,0.09209637208418407
241,48,1,200,1,0.001,0.3,233.03583650069703,160.24543050001807,0.013547608605677674,0.0774927356026389
242,48,1,200,1,0.001,0.5,234.23249396113818,161.02573660258193,0.013603256900954746,0.08251820911060674
243,48,1,200,1,0.001,0.7,234.66091140112093,161.30784500173743,0.013621057192750363,0.07014933499422936
244,48,1,200,1,0.001,0.1,233.90307685511834,162.5334915632855,0.013603544640442262,0.08270629969510158
245,48,1,200,1,0.01,0.1,290.12547929234637,204.54460475163253,0.0166743814297015,0.07239872759038747
246,48,1,200,1,0.01,0.3,234.60599249321038,163.15676239272824,0.013638855801339445,0.07372203740206627
247,48,1,200,1,0.01,0.5,231.50302123761648,159.90207329392192,0.01348407535028982,0.0712684718045321
248,48,1,200,1,0.01,0.7,232.10785308154055,159.8467761193166,0.01350661585055332,0.08751496401700101
249,48,1,200,1,0.01,0.1,290.10256591202,204.52846275075643,0.016677023530263263,0.07582939754832868
250,48,1,200,1,0.1,0.1,481.37412158926895,332.3592281818155,0.02674173876232987,0.0918656695972789
251,48,1,200,1,0.1,0.3,295.45214061114604,208.2175931586645,0.016962253432515662,0.07388372854752968
252,48,1,200,1,0.1,0.5,255.5894989505575,179.58011312481878,0.014773099831032845,0.07040260054848407
253,48,1,200,1,0.1,0.7,241.34548601804298,168.5631636065005,0.013988564760286646,0.07368174466219811
254,48,1,200,1,0.1,0.1,481.51383224866964,332.4581122502506,0.02675131307786903,0.07320488582957868
255,48,1,200,1,1.0,0.1,804.576327042573,582.738276985457,0.04719937499847635,0.07067821242592548
256,48,1,200,1,1.0,0.3,494.3289293376269,341.313289353112,0.027458853641481953,0.07134519923817025
257,48,1,200,1,1.0,0.5,385.09917768485525,267.96078073790045,0.021651266554091955,0.08053447983481664
258,48,1,200,1,1.0,0.7,331.75651588211423,233.02776594217804,0.01890403292273757,0.07047215375033286
259,48,1,200,1,1.0,0.1,804.5463547791124,582.71198157633,0.04720187427338689,0.07844903252341527
260,48,1,200,3,0.001,0.1,233.88520537593183,162.5203324157379,0.013602738929133145,0.34789570895108307
261,48,1,200,3,0.001,0.3,233.01610346625665,160.24296494415188,0.013547281750932727,0.34190164912830695
262,48,1,200,3,0.001,0.5,234.20283825638253,161.00021936580123,0.01360140258644169,0.370285229249434
263,48,1,200,3,0.001,0.7,234.65576973475638,161.28937041767725,0.01362000757066238,0.35142543099143286
264,48,1,200,3,0.001,0.1,233.8695877154644,162.50893442444328,0.01360217353158519,0.34890088168057526
265,48,1,200,3,0.01,0.1,290.0153470833407,204.46109235613238,0.016669119094839816,0.34164478562094946
266,48,1,200,3,0.01,0.3,234.58903828766526,163.13501041986885,0.013637968045221082,0.36161500757390797
267,48,1,200,3,0.01,0.5,231.48903895224956,159.8734098498862,0.013482936422196935,0.36395855383439496
268,48,1,200,3,0.01,0.7,232.0953219171779,159.85817968406008,0.013508126895623536,0.3717306527224454
269,48,1,200,3,0.01,0.1,289.9668395056809,204.42973718781985,0.016669023273247947,0.36821384863419965
270,48,1,200,3,0.1,0.1,481.3819294731517,332.3602995224995,0.02674065895896012,0.355716813694347
271,48,1,200,3,0.1,0.3,295.3455948856629,208.14017898193308,0.016955371596813835,0.35532002015547315
272,48,1,200,3,0.1,0.5,255.50222105985074,179.52170065336963,0.014769723864351573,0.35823557593605737
273,48,1,200,3,0.1,0.7,241.30968910056666,168.54262462889085,0.013986243295161337,0.36223593625155365
