Config ID,Dataset,Window,K,Hidden,Layers,Ridge,Scaling,RMSE,MAE,MAPE
247,SENSEX.xlsx,48,1,200,1,0.01,0.5,593.3520418045608,448.10605948934614,0.008091711958913799
247,SP500.xlsx,48,1,200,1,0.01,0.5,52.4485216730807,39.62270457211322,0.009597183390537495
247,SSE.xlsx,48,1,200,1,0.01,0.5,34.8654356194691,26.41173428594755,0.007887572325866355
207,DJI.xlsx,48,1,100,5,0.01,0.5,356.0352904248262,270.67900777244733,0.00816794999694715
207,HSI.xlsx,48,1,100,5,0.01,0.5,380.7184561144938,288.76967448976717,0.012700907601656094
207,KOSPI.xlsx,48,1,100,5,0.01,0.5,30.47233889985333,23.93324279870029,0.008641608675622326
207,LSE.xlsx,48,1,100,5,0.01,0.5,67.26867900098735,49.20111785859863,0.006859723004782411
207,NASDAQ.xlsx,48,1,100,5,0.01,0.5,218.10834753290774,167.2060804955585,0.013009890875157675
207,NIFTY50.xlsx,48,1,100,5,0.01,0.5,174.66248245100934,132.25835451636712,0.008005249746386667
207,NYSE.xlsx,48,1,100,5,0.01,0.5,174.80297470430162,134.84881935424787,0.008610771620269415
207,RUSSELL2000.xlsx,48,1,100,5,0.01,0.5,33.11390532384115,26.796537129857118,0.013198683402119252
207,SENSEX.xlsx,48,1,100,5,0.01,0.5,593.37529263632,448.48570651461523,0.008097848375559387
207,SP500.xlsx,48,1,100,5,0.01,0.5,52.46194966132684,39.63064816377717,0.009599079627763863
207,SSE.xlsx,48,1,100,5,0.01,0.5,34.864752118455975,26.411045383179342,0.00788736032001669
147,DJI.xlsx,48,1,50,7,0.01,0.5,355.98348935948235,270.66317745081966,0.008167373206242492
147,HSI.xlsx,48,1,50,7,0.01,0.5,380.7163434870392,288.7954761763031,0.012702571906531035
147,KOSPI.xlsx,48,1,50,7,0.01,0.5,30.511929161330368,23.952481134106556,0.008648932947868419
147,LSE.xlsx,48,1,50,7,0.01,0.5,67.27174191903168,49.203857747214535,0.0068601016365934546
147,NASDAQ.xlsx,48,1,50,7,0.01,0.5,218.4418798330826,167.32874279499438,0.01302011228319252
147,NIFTY50.xlsx,48,1,50,7,0.01,0.5,174.6766263049642,132.39462230234355,0.008012713054862865
147,NYSE.xlsx,48,1,50,7,0.01,0.5,174.79998124186702,134.8522294039903,0.008610979122015935
147,RUSSELL2000.xlsx,48,1,50,7,0.01,0.5,33.13611812372328,26.806094925338776,0.013204650181628814
147,SENSEX.xlsx,48,1,50,7,0.01,0.5,593.4757899665073,447.88370156759345,0.008088252385175045
147,SP500.xlsx,48,1,50,7,0.01,0.5,52.4447684030014,39.62613640252776,0.009597644045028034
147,SSE.xlsx,48,1,50,7,0.01,0.5,34.86394852850991,26.410314393103754,0.007887158860343567
167,DJI.xlsx,48,1,100,1,0.01,0.5,356.0497788120645,270.628885827487,0.008166610916511292
167,HSI.xlsx,48,1,100,1,0.01,0.5,380.73158666141126,288.8477504485477,0.012705651839405727
167,KOSPI.xlsx,48,1,100,1,0.01,0.5,30.473071691993724,23.93329921269663,0.00864164372545895
167,LSE.xlsx,48,1,100,1,0.01,0.5,67.26498784666046,49.197557676891485,0.006859227092573995
167,NASDAQ.xlsx,48,1,100,1,0.01,0.5,218.27096853297795,167.26740766734912,0.013015180130955206
167,NIFTY50.xlsx,48,1,100,1,0.01,0.5,174.67555105920832,132.3198626305608,0.008008686433114922
167,NYSE.xlsx,48,1,100,1,0.01,0.5,174.79664514997688,134.84013537246204,0.008610348084538392
167,RUSSELL2000.xlsx,48,1,100,1,0.01,0.5,33.11902468219606,26.798345039789886,0.013199985759539125
167,SENSEX.xlsx,48,1,100,1,0.01,0.5,593.3631075842611,448.36049233742756,0.008095788528832006
167,SP500.xlsx,48,1,100,1,0.01,0.5,52.46421110550412,39.632086078643404,0.009599358156241215
167,SSE.xlsx,48,1,100,1,0.01,0.5,34.86454692241228,26.410015955833224,0.007887058457939536
87,DJI.xlsx,48,1,50,1,0.01,0.5,356.05358588380216,270.65919271887816,0.008167440489561495
87,HSI.xlsx,48,1,50,1,0.01,0.5,380.73215778029083,288.88675011693874,0.01270816533926034
87,KOSPI.xlsx,48,1,50,1,0.01,0.5,30.496893923210916,23.946473397347493,0.008646573028644586
87,LSE.xlsx,48,1,50,1,0.01,0.5,67.27399050953001,49.20547456697623,0.00686033619115732
87,NASDAQ.xlsx,48,1,50,1,0.01,0.5,218.05712450415558,167.17072424317578,0.013007001125430679
