Dataset,Model,RMSE,MAE,MAPE
RUSSELL2000.xlsx,ARIMA,452.4325496168039,401.18567686170616,0.1856328594756619
RUSSELL2000.xlsx,LSTM,547.2146428104592,525.8045063191875,0.24966021928241702
RUSSELL2000.xlsx,GRU,620.9586522026063,599.970625662181,0.2855259952735721
RUSSELL2000.xlsx,TCN,721.4645137451051,689.4483391575498,0.32661533009678284
RUSSELL2000.xlsx,RVFL,83.51522896412669,70.26826471869393,0.03251449001452852
RUSSELL2000.xlsx,edRVFL,63.306621735276984,52.95671831470914,0.024841447264130314
RUSSELL2000.xlsx,edESN,119.32707263744777,100.85810844590256,0.046415748390546595
RUSSELL2000.xlsx,VMD-LSTM,666.5555585174684,643.3787552667754,0.30604105507578633
RUSSELL2000.xlsx,EWTRVFL,82.6960867862914,69.66200235848439,0.0322437492433965
RUSSELL2000.xlsx,EWTedRVFL,61.35653714235381,50.97417239839901,0.024003768169542597
RUSSELL2000.xlsx,RedRVFL,33.834154197570314,27.60164821260552,0.013609168314181855
SENSEX.xlsx,Persistence,578.9769517918829,438.76013233418377,0.08474196061376438
SENSEX.xlsx,SVR,3346.814548841525,2999.6584241596524,0.05205234234265696
SENSEX.xlsx,ARIMA,14624.89176740578,14044.289932525122,0.24706804686423645
SENSEX.xlsx,LSTM,24330.07716898223,24066.849967129565,0.4280061896906875
SENSEX.xlsx,GRU,12850.832391191034,12679.812479659477,0.22527367916083377
SENSEX.xlsx,TCN,23791.943064149567,23526.494834060777,0.4183258590676188
SENSEX.xlsx,RVFL,2963.4146389860093,2719.4233652181515,0.047448577850897386
SENSEX.xlsx,edRVFL,3132.5034794669186,2875.1975474581045,0.05014629696411796
SENSEX.xlsx,edESN,4263.4079471452405,3943.843845079837,0.06882576834776996
SENSEX.xlsx,VMD-LSTM,20773.861076426514,20523.60689275229,0.36476874987154834
SENSEX.xlsx,EWTRVFL,3029.3850253195333,2778.085174118276,0.04845235844134575
SENSEX.xlsx,EWTedRVFL,1796.596545811606,1566.122684155969,0.02772623513385257
SENSEX.xlsx,RedRVFL,662.2927332052284,516.9890229293428,0.009345689767567921
SP500.xlsx,Persistence,50.165889732317005,37.65711081455428,0.08336225482563661
SP500.xlsx,SVR,118.22967491784996,96.83451081212509,0.02288911353561518
SP500.xlsx,ARIMA,988.2170942154934,941.0943725914414,0.22072079772598188
SP500.xlsx,LSTM,1562.176531169738,1543.1514597459345,0.36627482254974303
SP500.xlsx,GRU,1674.4541494838877,1655.005519781937,0.3929290999100038
SP500.xlsx,TCN,2235.4467015809346,2219.7928523192454,0.5283515873191609
SP500.xlsx,RVFL,201.73365297940416,182.36935206635096,0.042462039368630904
SP500.xlsx,edRVFL,153.56058547525595,134.35557566896574,0.03127533684381252
SP500.xlsx,edESN,326.40911630589966,298.50344697730935,0.06949209547323869
SP500.xlsx,VMD-LSTM,1497.669986770323,1479.3792677099261,0.35113503718215483
SP500.xlsx,EWTRVFL,213.05663569443604,192.34177123893312,0.0447554546348743
SP500.xlsx,EWTedRVFL,183.55411676907613,162.73931988974795,0.03783246210933914
SP500.xlsx,RedRVFL,57.04710215857165,44.48596188507159,0.010771783825037524
SSE.xlsx,Persistence,33.562703991084334,25.122889999515746,0.06797316519152122
SSE.xlsx,SVR,34.180265888207025,25.653689666260085,0.00765714570564421
SSE.xlsx,ARIMA,361.57214362509524,312.40403949861434,0.08949768805661841
SSE.xlsx,LSTM,331.92546167208485,299.1718396938202,0.08618171518476808
SSE.xlsx,GRU,444.3563990785568,412.6099265749916,0.11943107555733587
SSE.xlsx,TCN,1802.0501591190932,1792.5466523722712,0.5284921776433117
SSE.xlsx,RVFL,34.11523892276587,25.704358025254137,0.007667323443694163
SSE.xlsx,edRVFL,34.67143451977827,26.152971993300675,0.007802734319669193
SSE.xlsx,edESN,35.203232400616734,26.39680338175875,0.007865440208324062
SSE.xlsx,VMD-LSTM,331.08678105172777,297.211671525671,0.0855672624211563
SSE.xlsx,EWTRVFL,34.60678252480632,26.09251281951992,0.007779057564780602
SSE.xlsx,EWTedRVFL,34.81239360560549,26.52697766921543,0.007902835849674467
SSE.xlsx,RedRVFL,34.194801751922654,25.733805242869813,0.007682569117389117
