Config ID,Dataset,Window,K,Hidden,Layers,Ridge,Scaling,RMSE,MAE,MAPE
127,HSI.xlsx,48,1,50,5,0.01,0.5,380.7227116952663,288.82253442325134,0.012704188426650855
127,KOSPI.xlsx,48,1,50,5,0.01,0.5,30.491033796478117,23.943358849357757,0.008645434967388666
127,LSE.xlsx,48,1,50,5,0.01,0.5,67.26885689293373,49.20096597851316,0.006859701348808495
127,NASDAQ.xlsx,48,1,50,5,0.01,0.5,218.46018484209807,167.34504645390246,0.013021511462223993
127,NIFTY50.xlsx,48,1,50,5,0.01,0.5,174.64598416783807,132.2921017116333,0.0080070303150579
127,NYSE.xlsx,48,1,50,5,0.01,0.5,174.78540975056998,134.81470670505863,0.008608942463169096
127,RUSSELL2000.xlsx,48,1,50,5,0.01,0.5,33.128135018236215,26.802029111147064,0.013202368708680107
127,SENSEX.xlsx,48,1,50,5,0.01,0.5,593.2958524137204,448.20558335703396,0.008093253603129614
127,SP500.xlsx,48,1,50,5,0.01,0.5,52.48232460857642,39.62565606965258,0.00959851855034326
127,SSE.xlsx,48,1,50,5,0.01,0.5,34.86443161194781,26.41036473677287,0.007887198149659476
47,DJI.xlsx,48,1,20,5,0.01,0.5,355.9978738271202,270.6528367704024,0.008167127807515913
47,HSI.xlsx,48,1,20,5,0.01,0.5,380.7110432301215,288.7922134155554,0.012702487270363182
47,KOSPI.xlsx,48,1,20,5,0.01,0.5,30.623145169368517,24.001564740264914,0.008667042960058066
47,LSE.xlsx,48,1,20,5,0.01,0.5,67.27349170946421,49.20497167513768,0.006860261010302105
47,NASDAQ.xlsx,48,1,20,5,0.01,0.5,218.96137768201413,167.57927420490063,0.01304067380507503
47,NIFTY50.xlsx,48,1,20,5,0.01,0.5,174.64890491304322,132.33414168676063,0.008009293965270248
47,NYSE.xlsx,48,1,20,5,0.01,0.5,174.82034121809576,134.88758527898457,0.008612851789377578
47,RUSSELL2000.xlsx,48,1,20,5,0.01,0.5,33.24007315310193,26.868542281928345,0.013237686976352013
47,SENSEX.xlsx,48,1,20,5,0.01,0.5,593.3204933829769,447.9639314060923,0.008089323434001693
47,SP500.xlsx,48,1,20,5,0.01,0.5,52.63290959943838,39.659157636356916,0.009609501322185049
47,SSE.xlsx,48,1,20,5,0.01,0.5,34.865029058885355,26.410614239997017,0.007887253288006857
187,DJI.xlsx,48,1,100,3,0.01,0.5,356.003099199341,270.69951866076457,0.008168374927926962
187,HSI.xlsx,48,1,100,3,0.01,0.5,380.7153270375369,288.778592952286,0.012701509856516907
187,KOSPI.xlsx,48,1,100,3,0.01,0.5,30.469352398415193,23.93121027722639,0.008640861050147419
187,LSE.xlsx,48,1,100,3,0.01,0.5,67.26619375733013,49.1989198162506,0.006859410850610336
187,NASDAQ.xlsx,48,1,100,3,0.01,0.5,218.3252207827205,167.2896696305333,0.013016827597752339
187,NIFTY50.xlsx,48,1,100,3,0.01,0.5,174.66341807805236,132.34720472194067,0.008010130473970496
187,NYSE.xlsx,48,1,100,3,0.01,0.5,174.81287392240338,134.87732080039748,0.008612295653518781
187,RUSSELL2000.xlsx,48,1,100,3,0.01,0.5,33.12162191618667,26.798224618853286,0.013200043987090604
187,SENSEX.xlsx,48,1,100,3,0.01,0.5,593.4074590523219,448.7212220063941,0.008101608404208429
187,SP500.xlsx,48,1,100,3,0.01,0.5,52.46967780554353,39.63227856840727,0.00959960206858951
187,SSE.xlsx,48,1,100,3,0.01,0.5,34.86490649747017,26.410874416079018,0.007887318116263217
307,DJI.xlsx,48,1,200,7,0.01,0.5,356.0076321873622,270.6260225163036,0.00816634405970869
307,HSI.xlsx,48,1,200,7,0.01,0.5,380.70815152255864,288.7909476732518,0.012702386716283652
