Config ID,Window,K,Hidden Size,Num Layers,Ridge Alpha,Input Scaling,RMSE,MAE,MAPE,Training Time
570,96,1,200,1,0.1,0.1,493.8446766182349,348.35164253078506,0.027606538230747154,0.13745659047907044
571,96,1,200,1,0.1,0.3,305.8999547304274,217.31150451136065,0.01739581902961204,0.13472234119068488
572,96,1,200,1,0.1,0.5,264.82034358810336,187.2236686536964,0.01511517285835521,0.13374484669078476
573,96,1,200,1,0.1,0.7,249.77249276883367,175.3024498713315,0.014280844431890326,0.14060581814159043
574,96,1,200,1,0.1,1.0,241.68473457515708,168.8873802780078,0.013869244295552946,0.1330182985825972
575,96,1,200,1,1.0,0.1,884.9347907016697,672.1167655867797,0.052060902291490734,0.13328818841414017
576,96,1,200,1,1.0,0.3,507.0129990617848,357.8283046804076,0.028330439485482837,0.1343723427165638
577,96,1,200,1,1.0,0.5,396.1240274211244,279.9891237329404,0.02231643845239511,0.13387950983914457
578,96,1,200,1,1.0,0.7,342.75063310784924,243.37406316603168,0.019419837442091917,0.13339068672873752
579,96,1,200,1,1.0,1.0,300.5078444672543,213.48028833649644,0.017098685389772328,0.1349371129816228
580,96,1,200,3,0.001,0.1,241.67840637007268,168.86811280748793,0.013867402529406908,0.6604586948047985
581,96,1,200,3,0.001,0.3,240.73520431998924,166.90945450313524,0.013836693533749582,0.653692288832231
582,96,1,200,3,0.001,0.5,242.25065720994172,167.89941537787624,0.013908049287394919,0.6314381469379772
583,96,1,200,3,0.001,0.7,242.8666479899183,168.30839931365043,0.013932720751689944,0.7376365011388605
584,96,1,200,3,0.001,1.0,243.14331265932668,168.41953182835644,0.013935889546247145,0.73804725300182
585,96,1,200,3,0.01,0.1,300.35311490290127,213.36214446398935,0.017090711873540155,0.8612598722631281
586,96,1,200,3,0.01,0.3,242.45001408676237,169.49584380665684,0.01390416363326341,0.9048830595883456
587,96,1,200,3,0.01,0.5,238.9664963908105,166.0674320889976,0.013742519134476727,0.9266413125124845
588,96,1,200,3,0.01,0.7,239.67310832148834,166.2932735043337,0.013781535597634072,0.8944652514024214
589,96,1,200,3,0.01,1.0,240.9052163446244,167.015031813233,0.013844201110351373,0.9049540866505016
590,96,1,200,3,0.1,0.1,493.604989487174,348.1859259680081,0.02759111050866383,0.9270708560943604
591,96,1,200,3,0.1,0.3,305.7511256946475,217.2061033105738,0.017389196148857693,0.8897396217692982
592,96,1,200,3,0.1,0.5,264.81209965790134,187.23375820181164,0.01511557188887101,0.8714502507990057
593,96,1,200,3,0.1,0.7,249.76432834905592,175.30485536508257,0.01428147278849848,0.8355068943717263
594,96,1,200,3,0.1,1.0,241.65903522186827,168.8629544047465,0.013867913688754518,0.6502127864144065
595,96,1,200,3,1.0,0.1,884.7576946295721,671.9855244099052,0.05205166646687162,0.6728683818470348
596,96,1,200,3,1.0,0.3,506.85113046726013,357.7059888932898,0.028321762609861686,0.6327339735898104
597,96,1,200,3,1.0,0.5,395.97547008234307,279.88152574404097,0.022305245184150856,0.7054331519386985
598,96,1,200,3,1.0,0.7,342.6122642309834,243.2861863253437,0.019414947051041218,0.6950896653262052
599,96,1,200,3,1.0,1.0,300.4010653113583,213.3994509632851,0.017094592361767243,0.7296628518538042
600,96,1,200,5,0.001,0.1,241.66784730464252,168.86376550890213,0.013867344947529019,1.6188322630795566
601,96,1,200,5,0.001,0.3,240.73795628467278,166.91697367704202,0.013836929700150546,1.3380806879563765
602,96,1,200,5,0.001,0.5,242.2260914839908,167.8786640607488,0.013907115048109299,1.281464403325861
603,96,1,200,5,0.001,0.7,242.86656342804883,168.30417820324075,0.013932983373345092,1.1771079410206189
604,96,1,200,5,0.001,1.0,243.14363241595666,168.40969512200564,0.013936144272102446,1.5443699576637961
605,96,1,200,5,0.01,0.1,300.34275332910215,213.35571237219864,0.017090017105247445,1.6112712296572598
606,96,1,200,5,0.01,0.3,242.44608376726782,169.4879418490849,0.013903473886275991,1.331221797249534
607,96,1,200,5,0.01,0.5,238.9478298349639,166.050887101376,0.013741341876840727,1.2751589254899458
608,96,1,200,5,0.01,0.7,239.66641692074657,166.2996640250002,0.013782531631953244,1.158705386248502
609,96,1,200,5,0.01,1.0,240.92616890650694,167.0220916502027,0.013845206868351155,1.1368418390100652
610,96,1,200,5,0.1,0.1,493.42420618269153,348.0587541801959,0.027585665697288344,1.2128142226826062
611,96,1,200,5,0.1,0.3,305.70417394568364,217.17232914516063,0.01738592241393391,1.3070068792863325
612,96,1,200,5,0.1,0.5,264.7947969641409,187.21202115772164,0.015114257276633463,1.6138070930134167
613,96,1,200,5,0.1,0.7,249.76080205014262,175.3031814984946,0.014281715297022336,1.6661606485193425
614,96,1,200,5,0.1,1.0,241.68087991416306,168.89116826314697,0.013869046282884835,1.1883746927434748
615,96,1,200,5,1.0,0.1,884.6670867811598,671.9085655154969,0.052048491413481314,1.1542626727711072
616,96,1,200,5,1.0,0.3,506.7446988735002,357.6329822834158,0.028318921580978727,1.133566292849454
617,96,1,200,5,1.0,0.5,395.8612039247031,279.80034664748695,0.022300056745065282,1.1586930751800537
618,96,1,200,5,1.0,0.7,342.58116852341794,243.25722485214692,0.0194159552369581,1.2904331250624224
