Config ID,Dataset,Window,K,Hidden,Layers,Ridge,Scaling,RMSE,MAE,MAPE,Time
559,NIFTY50.xlsx,96,1,100,7,1.0,1.0,287.4514219193625,209.49769950711587,0.019622739733850217,0.6302175521850586
559,NYSE.xlsx,96,1,100,7,1.0,1.0,291.47222748767393,193.4533562724423,0.016336304348845813,0.6360344886779785
559,RUSSELL2000.xlsx,96,1,100,7,1.0,1.0,43.86266676618628,31.479362030335157,0.021847072833095133,0.6460628509521484
559,SENSEX.xlsx,96,1,100,7,1.0,1.0,996.2890295020278,723.3589855574895,0.019933162751227532,0.6370344161987305
559,SP500.xlsx,96,1,100,7,1.0,1.0,79.1557374102386,54.941940741356554,0.01809579670662648,0.6331439018249512
559,SSE.xlsx,96,1,100,7,1.0,1.0,46.87836618214081,33.39829512180206,0.010494657030514056,0.6469085216522217
560,DJI.xlsx,96,1,200,1,0.001,0.1,558.8316387778104,365.124745522926,0.014539236957372595,0.17351341247558594
560,HSI.xlsx,96,1,200,1,0.001,0.1,378.3044621765179,280.28538091679934,0.011241149998524711,0.15007567405700684
560,KOSPI.xlsx,96,1,200,1,0.001,0.1,37.94168719796869,28.650546794431058,0.013082942794507063,0.12913727760314941
560,LSE.xlsx,96,1,200,1,0.001,0.1,115.0697359412509,77.635815524056,0.012923622740493638,0.13772869110107422
560,NASDAQ.xlsx,96,1,200,1,0.001,0.1,205.3484432497743,152.15931023846426,0.015552292794053915,0.13530850410461426
560,NIFTY50.xlsx,96,1,200,1,0.001,0.1,217.09210372387932,154.24928870880044,0.014604276317075218,0.26117587089538574
560,NYSE.xlsx,96,1,200,1,0.001,0.1,249.77902252708458,165.15436534065537,0.013985266636173624,0.1667783260345459
560,RUSSELL2000.xlsx,96,1,200,1,0.001,0.1,37.071071533266746,26.40837890546533,0.01854116191131403,0.19009661674499512
560,SENSEX.xlsx,96,1,200,1,0.001,0.1,756.9268028568155,536.7019958004475,0.014941591089096004,0.19071722030639648
560,SP500.xlsx,96,1,200,1,0.001,0.1,61.98093004579333,42.28395310150437,0.013970351237193285,0.18891692161560059
560,SSE.xlsx,96,1,200,1,0.001,0.1,40.39638985176245,29.075812743681013,0.009169510829975882,0.17799901962280273
561,DJI.xlsx,96,1,200,1,0.001,0.3,557.9023174599082,369.6815499228268,0.014714989585462046,0.1954660415649414
561,HSI.xlsx,96,1,200,1,0.001,0.3,382.1705437040864,284.20669321893325,0.011408643496166415,0.35604262351989746
561,KOSPI.xlsx,96,1,200,1,0.001,0.3,37.49013479822782,28.234862186245355,0.01292904135983902,0.17858505249023438
561,LSE.xlsx,96,1,200,1,0.001,0.3,114.78845929799111,78.54986165693295,0.013089206452066734,0.1941823959350586
561,NASDAQ.xlsx,96,1,200,1,0.001,0.3,200.46116888791795,146.08776842885794,0.015011462954793098,0.20586800575256348
561,NIFTY50.xlsx,96,1,200,1,0.001,0.3,214.61839924148597,148.4024282728814,0.014164737718621435,0.18540692329406738
561,NYSE.xlsx,96,1,200,1,0.001,0.3,252.46404875801556,168.031473759982,0.014238197567446076,0.19617176055908203
561,RUSSELL2000.xlsx,96,1,200,1,0.001,0.3,37.077871538472166,26.89281306244122,0.018917559562013648,0.19026660919189453
561,SENSEX.xlsx,96,1,200,1,0.001,0.3,749.3261997118556,514.3102370902778,0.014435762551901286,0.27817416191101074
561,SP500.xlsx,96,1,200,1,0.001,0.3,61.24560807028779,41.523106256676435,0.013745095933350562,0.17946147918701172
561,SSE.xlsx,96,1,200,1,0.001,0.3,40.71978904924562,30.235589565525103,0.009556149614240448,0.1672506332397461
562,DJI.xlsx,96,1,200,1,0.001,0.5,561.5365904365246,373.5345047053476,0.014864225705475622,0.17555856704711914
562,HSI.xlsx,96,1,200,1,0.001,0.5,383.244041392472,285.0998400796106,0.011445685024130946,0.1808309555053711
562,KOSPI.xlsx,96,1,200,1,0.001,0.5,37.49751252208863,28.24215247519989,0.012936580453270223,0.1802530288696289
562,LSE.xlsx,96,1,200,1,0.001,0.5,114.83044645184789,78.7189941031389,0.013118708651848936,0.18728995323181152
562,NASDAQ.xlsx,96,1,200,1,0.001,0.5,201.41999632916864,146.34408317041135,0.015053300711333917,0.19620656967163086
562,NIFTY50.xlsx,96,1,200,1,0.001,0.5,216.4788463879698,149.0566347620443,0.014250630442505836,0.13042950630187988
562,NYSE.xlsx,96,1,200,1,0.001,0.5,253.43762247447236,168.93236438455006,0.01431519438251225,0.13112688064575195
562,RUSSELL2000.xlsx,96,1,200,1,0.001,0.5,37.19876271148583,27.029658548173163,0.019014489965863548,0.13635659217834473
562,SENSEX.xlsx,96,1,200,1,0.001,0.5,756.4792224167728,517.9851637873403,0.014566268778483805,0.1389927864074707
562,SP500.xlsx,96,1,200,1,0.001,0.5,61.60145973398701,41.64883051443716,0.013790365784078763,0.1434173583984375
562,SSE.xlsx,96,1,200,1,0.001,0.5,40.94322407742169,30.53510257599796,0.009652353298454291,0.126664400100708
563,DJI.xlsx,96,1,200,1,0.001,0.7,563.1622126518927,375.24687119859607,0.014931421245963415,0.13480234146118164
563,HSI.xlsx,96,1,200,1,0.001,0.7,383.606310578113,285.40023212373893,0.011458312488789866,0.13054585456848145
563,KOSPI.xlsx,96,1,200,1,0.001,0.7,37.486117483927934,28.238316949306085,0.012937080095991907,0.12978243827819824
563,LSE.xlsx,96,1,200,1,0.001,0.7,114.8442693336836,78.76140193064771,0.013126156481554154,0.1351933479309082
563,NASDAQ.xlsx,96,1,200,1,0.001,0.7,201.98530671091027,146.38788563643618,0.015065976060746692,0.1344311237335205
563,NIFTY50.xlsx,96,1,200,1,0.001,0.7,217.25005054447894,149.36477480572987,0.014285023952046259,0.13083314895629883
563,NYSE.xlsx,96,1,200,1,0.001,0.7,253.82973515959904,169.29282811910505,0.014346520327561141,0.13212227821350098
563,RUSSELL2000.xlsx,96,1,200,1,0.001,0.7,37.220584107511314,27.06362860706556,0.01903777863961291,0.13291215896606445
563,SENSEX.xlsx,96,1,200,1,0.001,0.7,759.6582897784125,519.6034983590678,0.014620811692104458,0.14230060577392578
563,SP500.xlsx,96,1,200,1,0.001,0.7,61.6711526744261,41.66448753201923,0.013794112821081844,0.13695406913757324
563,SSE.xlsx,96,1,200,1,0.001,0.7,41.01840306527844,30.637825403515652,0.009685529669149151,0.12950992584228516
564,DJI.xlsx,96,1,200,1,0.001,1.0,563.135883127431,375.3500989100138,0.014934648594904372,0.14324402809143066
